image_id,max_absolute_noise,mean_absolute_noise,min_absolute_noise,std_absolute_noise
129,255.0,0.6145528,0.0,4.9056807
130,233.0,0.60306674,0.0,4.968967
131,245.0,0.4978981,0.0,4.6712046
132,203.0,0.5511182,0.0,4.414203
133,219.0,0.5203285,0.0,4.2493463
134,186.0,0.6007169,0.0,4.6367583
135,239.0,0.54487866,0.0,4.5973797
136,215.0,0.6344719,0.0,4.826591
137,244.0,0.6615944,0.0,5.3971663
138,254.0,0.5820897,0.0,5.003207
139,250.0,0.55595016,0.0,4.9142613
140,178.0,0.54150647,0.0,4.270693
141,211.0,0.504144,0.0,4.3744235
142,253.0,0.5939166,0.0,5.0352006
143,226.0,0.660394,0.0,5.2812963
144,241.0,0.50472766,0.0,4.2779293
145,243.0,0.579778,0.0,4.7469115
146,215.0,0.544604,0.0,4.5556803
147,220.0,0.43994904,0.0,4.305489
148,228.0,0.5413513,0.0,4.107824
149,201.0,0.43837738,0.0,4.7471666
150,216.0,0.6064059,0.0,4.9657063
151,193.0,0.51450604,0.0,4.575548
152,232.0,0.55662155,0.0,4.488701
153,164.0,0.5549939,0.0,4.464226
154,255.0,0.4707171,0.0,4.361305
155,208.0,0.5055707,0.0,4.1211724
156,235.0,0.49734244,0.0,4.1627016
157,214.0,0.5753784,0.0,4.6494994
158,176.0,0.5293083,0.0,4.1274557
159,243.0,0.55209094,0.0,4.8872066
160,246.0,0.61373013,0.0,5.256156
161,224.0,0.66157275,0.0,5.7762117
162,195.0,0.53464127,0.0,4.354247
163,234.0,0.6479047,0.0,5.0018864
164,233.0,0.6497523,0.0,5.212566
165,216.0,0.60964584,0.0,4.8842998
166,226.0,0.64013165,0.0,5.488472
167,202.0,0.55934525,0.0,4.4534507
168,221.0,0.50653714,0.0,4.229096
169,188.0,0.48765436,0.0,4.2390914
170,200.0,0.54965085,0.0,4.5884466
171,220.0,0.4861145,0.0,3.9207475
172,233.0,0.54002124,0.0,4.3042254
173,255.0,0.51079434,0.0,4.2152104
174,255.0,0.54227954,0.0,4.2851043
175,250.0,0.5306943,0.0,4.3731165
176,245.0,0.5482483,0.0,4.5992527
177,245.0,0.66585284,0.0,5.1287193
178,230.0,0.5535138,0.0,4.470674
179,206.0,0.3256607,0.0,3.9287379
180,219.0,0.5389595,0.0,4.7169437
181,249.0,0.59541065,0.0,5.1225967
182,216.0,0.60472614,0.0,4.528108
183,216.0,0.6346181,0.0,5.291391
184,233.0,0.6186981,0.0,5.042255
185,232.0,0.5948245,0.0,4.950638
186,226.0,0.585762,0.0,4.361377
187,232.0,0.563268,0.0,5.003118
188,234.0,0.5826912,0.0,4.7681823
189,220.0,0.60512924,0.0,4.634992
190,255.0,0.56718063,0.0,4.69791
191,216.0,0.60176593,0.0,5.166828
192,205.0,0.5774371,0.0,4.510137
193,173.0,0.57202405,0.0,4.1316133
194,247.0,0.5709407,0.0,4.874518
195,204.0,0.5277049,0.0,4.3631363
196,250.0,0.47758865,0.0,3.9612443
197,230.0,0.5247409,0.0,4.227329
198,233.0,0.5538127,0.0,4.1732297
199,220.0,0.6520551,0.0,5.199787
